Flag,Description,Type,Part,Quantity,UOM,InstructionNote,ConfigurationSortOrder,InstructionSortOrder
Item,Add RV-00001,Raw Good,RV-00001,2,ea,"RV1,RV2",4,4
Item,Add RS-64021,Raw Good,RS-64021,2,ea,"R1,R5",5,5
Item,Add RS-68061,Raw Good,RS-68061,1,ea,R2,6,6
Item,Add RS-74701,Raw Good,RS-74701,1,ea,R3,7,7
Item,Add RS-66202,Raw Good,RS-66202,2,ea,"R4,R6",8,8
Item,Add RS-61002,Raw Good,RS-61002,3,ea,R11,9,9
Item,Add RS-62552,Raw Good,RS-62552,6,ea,"R7,R8,R9,R13,R14,R15",10,10
Item,Add RS-62201,Raw Good,RS-62201,1,ea,R10,11,11
Item,Add RS-65102,Raw Good,RS-65102,1,ea,R12,12,12
Item,Add IT-00017,Raw Good,IT-00017,1,ea,U1,13,13
Item,Add IF-00028,Raw Good,IF-00028,1,ea,U2,14,14
Item,Add IE-00126,Raw Good,IE-00126,1,ea,U3,15,15
Item,Add IE-00114,Raw Good,IE-00114,1,ea,U4,16,16
Item,PCB,Raw Good,BC-00404.10A,1,ea,raw board,17,17
Item,Create EC-01404,Finished Good,EC-01404,1,ea,,18,18
BOM,EC-01403,K6x Pulse Module,Manufacture,1,Order Quantity,,,
Item,Add CC-00072,Raw Good,CC-00072,6,ea,"C1,C2,C4,C5,C6,C8",1,1
Item,Add CC-00061,Raw Good,CC-00061,1,ea,C3,2,2
Item,Add XA-10122,Raw Good,XA-10122,3,ea,"J1,J2,J3",3,3
Item,Add RV-00001,Raw Good,RV-00001,3,ea,"RV1,RV2,RV3",4,4
Item,Add RS-74701,Raw Good,RS-74701,4,ea,"R1,R2,R3,R4",5,5
Item,Add RS-60033,Raw Good,RS-60033,2,ea,"R5,R9",6,6
Item,Add RS-71002,Raw Good,RS-71002,2,ea,"R6,R8",7,7
Item,Add RS-61001,Raw Good,RS-61001,2,ea,"R10,R12",8,8
Item,Add RS-62001,Raw Good,RS-62001,1,ea,R11,9,9
Item,Add IF-00028,Raw Good,IF-00028,1,ea,U1,10,10
Item,Add IA-40123,Raw Good,IA-40123,1,ea,U2,11,11
Item,Add IT-00014,Raw Good,IT-00014,2,ea,"U3,U5",12,12
Item,Add IE-00150,Raw Good,IE-00150,2,ea,"U4,U7",13,13
Item,PCB,Raw Good,BC-00403.11A,1,ea,raw board,14,14
Item,Create EC-01403,Finished Good,EC-01403,1,ea,,15,15
BOM,EC-01402-C,K6x GPS Module (Copernicus II),Manufacture,1,Order Quantity,,,
Item,Add CC-00072,Raw Good,CC-00072,1,ea,C1,1,1
Item,Add CC-00123,Raw Good,CC-00123,1,ea,C2,2,2
Item,Add DA-00022,Raw Good,DA-00022,1,ea,D1,3,3
Item,Add DA-00012,Raw Good,DA-00012,1,ea,D2,4,4
Item,Add LC-00050,Raw Good,LC-00050,1,ea,L1,5,5
Item,Add ET-00062,Raw Good,ET-00062,1,ea,Q1,6,6
Item,Add ET-00063,Raw Good,ET-00063,1,ea,Q2,7,7
Item,Add ET-00038,Raw Good,ET-00038,2,ea,"Q3,Q4",8,8
Item,Add ET-00060,Raw Good,ET-00060,1,ea,Q5,9,9
Item,Add RS-74701,Raw Good,RS-74701,5,ea,"R1,R2,R13,R14,R17",10,10
Item,Add RS-60000,Raw Good,RS-60000,2,ea,"R4,R5",11,11
Item,Add RS-60100,Raw Good,RS-60100,1,ea,R8,12,12
Item,Add RS-61003,Raw Good,RS-61003,1,ea,R9,13,13
Item,Add RS-65620,Raw Good,RS-65620,1,ea,R10,14,14
Item,Add RS-63091,Raw Good,RS-63091,1,ea,R11,15,15
Item,Add RS-61002,Raw Good,RS-61002,1,ea,R12,16,16
Item,Add RS-61001,Raw Good,RS-61001,1,ea,R15,17,17
Item,Add RS-71002,Raw Good,RS-71002,1,ea,R16,18,18
Item,Add AD-00014,Raw Good,AD-00014,1,ea,U1,19,19
Item,PCB,Raw Good,BC-00402.10A,1,ea,raw board,20,20
Item,Create EC-01402-C,Finished Good,EC-01402-C,1,ea,,21,21
BOM,EC-01402-B,K6x GPS Module (Buffalo),Manufacture,1,Order Quantity,,,
Item,Add CC-00072,Raw Good,CC-00072,1,ea,C1,1,1
Item,Add CC-00123,Raw Good,CC-00123,1,ea,C2,2,2
Item,Add DA-00022,Raw Good,DA-00022,1,ea,D1,3,3
Item,Add DA-00012,Raw Good,DA-00012,1,ea,D2,4,4
Item,Add LC-00050,Raw Good,LC-00050,1,ea,L1,5,5
Item,Add ET-00062,Raw Good,ET-00062,1,ea,Q1,6,6
Item,Add ET-00063,Raw Good,ET-00063,1,ea,Q2,7,7
Item,Add ET-00038,Raw Good,ET-00038,2,ea,"Q3,Q4",8,8
Item,Add ET-00060,Raw Good,ET-00060,1,ea,Q5,9,9
Item,Add RS-74701,Raw Good,RS-74701,6,ea,"R1,R2,R13,R14,R17,R18",10,10
Item,Add RS-60000,Raw Good,RS-60000,2,ea,"R3,R6",11,11
Item,Add RS-60100,Raw Good,RS-60100,1,ea,R8,12,12
Item,Add RS-61003,Raw Good,RS-61003,1,ea,R9,13,13
Item,Add RS-65620,Raw Good,RS-65620,1,ea,R10,14,14
Item,Add RS-63091,Raw Good,RS-63091,1,ea,R11,15,15
Item,Add RS-61002,Raw Good,RS-61002,1,ea,R12,16,16
Item,Add RS-61001,Raw Good,RS-61001,1,ea,R15,17,17
Item,Add RS-71002,Raw Good,RS-71002,1,ea,R16,18,18
Item,Add AD-00019,Raw Good,AD-00019,1,ea,U1,19,19
Item,PCB,Raw Good,BC-00402.10A,1,ea,raw board,20,20
Item,Create EC-01402-B,Finished Good,EC-01402-B,1,ea,,21,21
