"PartNumber","PartDescription","PartDetails","UOM","UPC","PartType","Active","ABCCode","Weight","WeightUOM","Width","Height","Length","SizeUOM","PrimaryTracking","AlertNote","PictureUrl","Tracks-Lot Number","Tracks-Revision Level","Tracks-Expiration Date","Tracks-Serial Number","CF-Custom1","CF-Custom2","CF-Custom3","CF-Custom4"
"PB-00008","Battery // 3V 48 mAh 12.5 mm lithium coin cell",,"ea",,"Inventory","true","B","0","lbs","0","0","0","ft",,,,"false","false","false","false","Panasonic // BR1225",,,
"PB-00006","Battery // 3.5V Lithium Cell 350 mAh, PCB Mount",,"ea",,"Inventory","true","C","0","lbs","0","0","0","ft",,,,"false","false","false","false","Eagle-Picher // LTC-3PN-S2",,,
"PB-00005","Battery // 3V Lithium Cell 255 mAh, PCB Mount Low Profile",,"ea",,"Inventory","true","C","0","lbs","0","0","0","ft",,,,"false","false","false","false","Panasonic // BR2330-A/HD",,,
"PB-00004","Battery // 3V Lithium Cell 255 mAh, PCB Mount",,"ea",,"Inventory","true","B","0","lbs","0","0","0","ft",,,,"false","false","false","false","Panasonic // BR2330-1VC",,,
"PB-00002","Battery // 3V Lithium Cell  48 mAh, PCB Mount",,"ea",,"Inventory","true","C","0","lbs","0","0","0","ft",,,,"false","false","false","false","Panasonic // BR1225-1VC","Dantona // BR1225-1VC","Dantona // Lith-2-2VL",
"NB-00022","export 16 x 15 5/8 x 8",,"ea",,"Inventory","true","C","0","lbs","0","0","0","ft",,,,"false","false","false","false","Arrow Box Company // 49022-110",,,
"ND-00001","Floppy Diskettes // 3.25",,"ea",,"Inventory","true","C","0","lbs","0","0","0","ft",,,,"false","false","false","false","0 // 0",,,
"NB-00020","Box // 10 x 10 x 5 for GPS standard package",,"ea",,"Inventory","true","C","0","lbs","0","0","0","ft",,,,"false","false","false","false","P & M Consolidator // 11506",,,
"NB-00021","Box // 10 x 10 x 6",,"ea",,"Inventory","true","C","0","lbs","0","0","0","ft",,,,"false","false","false","false","Uline//S-1407",,,
"NB-00019","Box // 16 x 16 x 12",,"ea",,"Inventory","true","C","0","lbs","0","0","0","ft",,,,"false","false","false","false","Uline // S-4165",,,
"NB-00016","Box // Symmetricom ND-2",,"ea",,"Inventory","true","C","0","lbs","0","0","0","ft",,,,"false","false","false","false","Arrow Box Company // TCD26R-Bo",,,
"NB-00017","Box // Symmetricom ND-4",,"ea",,"Inventory","true","C","0","lbs","0","0","0","ft",,,,"false","false","false","false","Arrow Box Company // TCD46-Box",,,
"NM-00007","Wire Guard // blue '3-wire' wire guard",,"ea",,"Inventory","true","C","0","lbs","0","0","0","ft",,,,"false","false","false","false","Gardner Bender // 16-002",,,
"NM-00008","Wire Guard // orange '4-wire' wire guard",,"ea",,"Inventory","true","C","0","lbs","0","0","0","ft",,,,"false","false","false","false","Gardner Bender // 16-003L",,,
"NM-00001","Misc // Uline economy packing tape",,"ea",,"Inventory","true","C","0","lbs","0","0","0","ft",,,,"false","false","false","false","Uline // S-2785",,,
"RP-80510","Resistor Network // 51 Ohm x 8 Resistor Network",,"ea",,"Inventory","true","C","0","lbs","0","0","0","ft",,,,"false","false","false","false","CTS // 761-3-R51",,,
"RP-80220","Resistor Network // 22 Ohm X 8 Resistor Network",,"ea",,"Inventory","true","C","0","lbs","0","0","0","ft",,,,"false","false","false","false","Bourns // 4116R-1-220",,,
"RS-10103","SM Resistor // 10K ohm 5% 1/8W 1206 Chip Resistor",,"ea",,"Inventory","true","C","0","lbs","0","0","0","ft",,,,"false","false","false","false","Panasonic // ERJ-8GEYJ103V",,,
"RP-90103","SM Resistor Network // 10K x 8 5% 1/16W SMD Resistor network",,"ea",,"Inventory","true","C","0","lbs","0","0","0","ft",,,,"false","false","false","false","Koa Speer // CN1J8LTE103J",,,
"RS-10472","SM Resistor // 4.7K ohm  5% 1/8W 1206 Chip Resistor",,"ea",,"Inventory","true","C","0","lbs","0","0","0","ft",,,,"false","false","false","false","Panasonic // ERJ-8GEYJ472V",,,
"RS-10331","SM Resistor // 330 ohm  5% 1/4W 1206 Chip Resistor  Rohs",,"ea",,"Inventory","true","C","0","lbs","0","0","0","ft",,,,"false","false","false","false","Yageo // RC1206JR-07330RL",,,
"RS-26040","SM Resistor // 604 ohm  1% 1/8W 1206 Chip Resistor",,"ea",,"Inventory","true","C","0","lbs","0","0","0","ft",,,,"false","false","false","false","Panasonic // ERJ-8ENF6040V",,,
"RS-23010","SM Resistor // 301 ohm  1% 1/8W 1206 Chip Resistor",,"ea",,"Inventory","true","C","0","lbs","0","0","0","ft",,,,"false","false","false","false","Panasonic // ERJ-8ENF3010V",,,
"RS-32003","SM Resistor // 20K Ohm 5% 1/4W 1210 Chip Resistor",,"ea",,"Inventory","true","C","0","lbs","0","0","0","ft",,,,"false","false","false","false","Panasonic // ERJ-14YJ20K",,,
"RS-31000","SM Resistor // 10 Ohm, 5% 1/4W 1210 Chip Resistor",,"ea",,"Inventory","true","C","0","lbs","0","0","0","ft",,,,"false","false","false","false","Panasonic // ERJ-14YJ10",,,
"RS-32702","SM Resistor // 2.7K Ohm 5% 1/4 W 1210 Chip Resistor",,"ea",,"Inventory","true","C","0","lbs","0","0","0","ft",,,,"false","false","false","false","Panasonic // ERJ-14YJ2.7K",,,
